English Title,Chinese Title,Overview,英文译名,翻译理由
Ne Zha 2,哪吒之魔童闹海,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.","Nezha: Child of Chaos, Tempest of the Sea",“Child of Chaos”取代了直译的“Demon Child”，更宏大且符合电影中哪吒反叛的命运主题；“Tempest of the Sea”则以更具诗意的表达，将“闹海”这一特定神话行为转化为席卷海洋的史诗级冲突。
Ne Zha,哪吒之魔童降世,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",Nezha: Advent of the Demon Child,此译名保留了核心神话人物“Nezha”之名。“Advent”替代了“降世”，强调其预言般的、具有世界性影响的到来。同时，“Demon Child”直接点明了原片名中“魔童”的关键身份，突显了他被社会厌恶与恐惧的悲剧性命运。
Creation of the Gods II: Demon Force,封神第二部：战火西岐,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.",Investiture Saga: Chapter Two – Conflagration at Xiqi,“Investiture Saga”确立了史诗般的系列基调，并指代了“封神”的神话主线；“Conflagration at Xiqi”（西岐的战火）则将“战火西岐”的激烈冲突和地理核心地带进行了戏剧化处理，保留了原片名的关键意象。
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",,“The Condor Heroes”保留了原IP的知名意象，而“Sentinel of the Middle Kingdom”则将副标题“侠之大者”从个人武艺提升到保家卫国的宏大主题，强调了郭靖作为国家核心区域（中原）守护者的角色。该译名自然流畅地传达了武侠精神中“为国为民”的最高道德内涵，符合影片以襄阳保卫战为背景的史诗基调。
Dead to Rights,南京照相馆,"In the Nanjing Massacre of 1937, in order to save his life, postman A Chang pretended to be a photo developer in a photo studio and developed photos for the Japanese army. He also took in a group of Chinese soldiers and civilians, turning the studio into a temporary shelter. However, in the face of the Japanese army's cruel atrocities, A Chang risked his life to safely transfer the refugees and exposed the evidence of the massacre to the public.",The Nanking Darkroom,选择“Darkroom”而非更普遍的“Photo Studio”，更具专业性和象征意义，突显了主角在历史的黑暗时期隐秘冲洗照片、揭示真相的行动。使用“Nanking”这一更具历史沉重感的旧拼法，旨在立刻唤起英文语境中对1937年南京大屠杀事件的记忆。
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",Detective Dee: The Four Divine Sovereigns,此译名保留了核心数字“四”，并将“天王”转化为“Divine Sovereigns”（神圣君王），以强调这些角色在古代中国语境中至高无上的神话地位与对皇权的威胁。这使译名在英文语境中更加流畅有力，既符合狄仁杰系列电影的史诗风格，又避免了宗教色彩过于浓厚的直译。
Curse of the Golden Flower,滿城盡帶黃金甲,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",The Imperial City Clad in Gold Armament,此译名捕捉了原片名中“滿城盡帶黃金甲”的宏大且具有毁灭性的视觉意象，将“黃金甲”转化为“Gold Armament”，强调了皇权之下的武装冲突。它确立了电影的史诗背景（Imperial City），同时暗示了华丽表象下隐藏的致命斗争。
Saving General Yang,忠烈楊家將,"When a rival nation sends troops to invade the Song Dynasty, the emperor sends general Yang Ye (Adam Cheng) to defend the nation. However, Yang's place in the court is shaky due to a feud with Pan Renmei caused by the accidental death of his son at the hands of one of Yang's sons. At the battle, Yang is abandoned by Pan's troops, leaving him trapped in the face of an attack by Yeli Yuan (Shao Bing), an enemy general who wants to kill Yang to avenge his father. After learning about their father's predicament, Yang Ye's seven sons set out to rescue their father at any cost.",,“Generals of Allegiance”旨在传达“忠”的精髓及其身份（將），强调杨家对国家坚定的效忠。“The Yang Family Saga”则突显了“烈”的史诗性与悲剧色彩，以及“楊家將”作为中国传统文化中知名英雄群体的分量。
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,Apprentices at the Oolong Courtyard school are suspicious when two outsiders try to join the prestigious academy despite their strange behaviour.,New Oolong Courtyard: Mayhem Masters,此译名保留了“新”和“乌龙院”的核心IP，同时将“笑闹江湖”凝练为更具喜剧动感的“Mayhem Masters”。这既强调了片中高能、捣蛋的学徒精神，也暗示了他们在武林（江湖）中制造混乱（Mayhem）的喜剧主题。
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",The Investiture Epic: Part I – The Tempest at Chaoge,“The Investiture Epic”直接点明了电影核心主题“封神”（众神册封），并用“Epic”强调了其史诗三部曲的宏大背景。 “The Tempest at Chaoge”将“风云”转化为更具戏剧性和冲击力的“Tempest”（暴风/大动乱），准确表达了在商朝都城朝歌爆发的剧烈政治与军事动荡。
