Column 1,Column 2,datasets/Gemini_Culture-aware.csv,datasets/Gemini_Title_and_Synopsis.csv,datasets/Gemini_Title-only.csv,datasets/gpt_Culture-aware.csv,datasets/gpt_Title_and_Synopsis.csv,datasets/gpt_Title-only.csv,datasets/Llama_Culture-aware.csv,datasets/Llama_Title_and_Synopsis.csv,datasets/Llama_Title-only.csv
Ne Zha 2,哪吒之魔童闹海,0.7500,0.2500,0.7500,0.8800,0.8800,0.7500,0.3800,0.8800,1.0000
Ne Zha,哪吒之魔童降世,0.8300,0.8300,0.8300,0.8300,1.0000,0.8300,0.5000,0.8300,0.5000
Creation of the Gods II: Demon Force,封神第二部：战火西岐,0.3900,0.7800,0.8100,0.8100,0.7200,0.6400,0.4500,0.4700,0.4700
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,0.0000,0.8600,0.8600,0.8600,0.8600,0.8600,0.5700,0.7900,0.7900
Dead to Rights,南京照相馆,0.2900,0.3600,0.3600,0.3600,0.3600,0.3600,0.5000,0.3600,0.3600
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,0.7400,0.8900,0.6900,0.8700,1.0000,1.0000,0.8200,0.8900,0.8900
Curse of the Golden Flower,滿城盡帶黃金甲,0.3800,0.3800,1.0000,0.5100,1.0000,0.5600,0.3900,0.3500,1.0000
Saving General Yang,忠烈楊家將,0.0000,1.0000,0.4900,0.4700,1.0000,0.5800,0.4200,0.4200,0.4200
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,0.6200,0.6900,0.3100,0.6900,0.7500,0.7500,0.2800,0.8000,0.6500
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,0.3700,1.0000,0.7700,0.6900,1.0000,0.7100,0.5600,0.4900,0.5200
The Founding of an Army,建军大业,0.4300,1.0000,1.0000,0.6200,1.0000,1.0000,0.5200,1.0000,0.8300
The Taking of Tiger Mountain,智取威虎山,0.7100,1.0000,1.0000,0.6800,1.0000,0.7500,0.5000,0.5600,0.5600
The Monkey King 3,西游记·女儿国,0.9400,0.9400,0.9400,0.5900,0.9400,0.5900,0.8800,0.4100,0.4700
The Queen,封神：妲己,0.6700,0.4400,0.5600,0.6700,0.4400,0.5600,0.4400,0.3300,0.5600
Beginning of the Great Revival,建党伟业,0.7700,0.5200,0.5200,0.5600,0.5200,0.5200,0.5000,0.5200,0.5200
King of the New Beggars,武状元苏乞儿之天降神谕,0.5700,0.6500,0.6500,0.5700,0.3500,0.5200,0.4800,0.4100,0.3400
Shaolin Temple Death or Consequence,武僧,0.4700,0.5800,0.5600,0.4400,0.5000,0.4200,0.5300,0.5300,0.7500
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,0.7300,0.7100,1.0000,0.7100,1.0000,0.7000,0.5000,0.5200,0.9000
Records of East China Sea,东海异闻录,0.6000,0.5800,0.4400,0.6400,0.6200,0.6200,0.0000,0.5600,0.6000
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,0.0000,0.6800,0.6600,0.7100,0.6500,0.6300,0.0000,0.6800,0.6000
"Crouching Tiger, Hidden Dragon",卧虎藏龍,0.0000,1.0000,0.9700,0.4300,1.0000,1.0000,0.6700,1.0000,1.0000
The Grandmaster of Kung Fu,霍元甲之精武天下,0.4200,0.3500,0.3800,0.4600,0.5000,0.3100,0.5800,0.3500,0.5000
Summer Palace,颐和园,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2300,1.0000,1.0000
Dragon,武俠,0.0000,0.3600,0.3300,0.3300,1.0000,0.3600,0.3300,0.5000,0.1700
Guard The Pass of Han,汉时关,0.0000,0.7500,0.6200,0.7100,0.7100,0.5300,0.0000,0.6700,0.4200
