English Title,Chinese Title,Overview,英文译名,翻译理由
Ne Zha 2,哪吒之魔童闹海,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",*Ne Zha: Rebirth of the Demon Child*,“魔童闹海”原意包含“叛逆、重生、冲破命运”的意象。“Rebirth”既呼应故事中“重生”的情节，也延续哪吒作为“魔童”的反叛精神，使标题在英文语境中既自然又保留了中国神话的史诗感。
Ne Zha,哪吒之魔童降世,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",*Nezha: Rise of the Demon Child*,“魔童降世”意为“带有魔性之子的诞生”，我用 *Rise* 代替直译的 “Descent/Birth”，既保留“降世”的命运感，又体现成长与觉醒的主题；“Demon Child”传达出“魔童”的双重含义——被视为魔，却仍是孩子，兼具力量与纯真。
Creation of the Gods II: Demon Force,封神第二部：战火西岐,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.",*Creation of the Gods II: Flames over Xiqi*,“封神”在文化语境中指神话史诗式的“成神”或“神话创世”，用 *Creation of the Gods* 可体现其宏大与神话感；“战火西岐”意为战火蔓延至西岐，用 *Flames over Xiqi* 既传达战争的紧迫，也保留了地名“西岐”的文化特色。
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",*The Legend of the Condor Heroes: The Grand Knight*,“侠之大者”强调的是超越个人恩怨、以天下为己任的“至高侠义”，用 *The Grand Knight* 既保留了“侠”的高尚气质，又在英文语境中自然传达出史诗感与英雄格局。
Dead to Rights,南京照相馆,"In the Nanjing Massacre of 1937, in order to save his life, postman A Chang pretended to be a photo developer in a photo studio and developed photos for the Japanese army. He also took in a group of Chinese soldiers and civilians, turning the studio into a temporary shelter. However, in the face of the Japanese army's cruel atrocities, A Chang risked his life to safely transfer the refugees and exposed the evidence of the massacre to the public.",*The Nanjing Studio*,“Studio”既可指照相馆，又带有艺术与记忆的意味，简洁而富象征性；保留“Nanjing”突显历史背景，使片名在英文语境中自然且庄重。
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",*Detective Dee and the Four Heavenly Guardians*,“天王”在中国文化中常指佛教护法神，译为 *Heavenly Guardians* 能传达出神秘与庄严的宗教意象；“狄仁杰之”则以 *Detective Dee and the…* 的形式呈现，既自然又保留了系列片的探案风格。
Curse of the Golden Flower,滿城盡帶黃金甲,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",*The City Shrouded in Golden Armor*,“滿城盡帶黃金甲”原意描绘金甲遍布、气势恢宏的场景，象征权力、奢华与压抑的危机。我用 *shrouded* 体现金色华丽背后的窒息与阴谋，使译名既保留原作的视觉壮丽，又传达其悲剧与权力的张力。
Saving General Yang,忠烈楊家將,"When a rival nation sends troops to invade the Song Dynasty, the emperor sends general Yang Ye (Adam Cheng) to defend the nation. However, Yang's place in the court is shaky due to a feud with Pan Renmei caused by the accidental death of his son at the hands of one of Yang's sons. At the battle, Yang is abandoned by Pan's troops, leaving him trapped in the face of an attack by Yeli Yuan (Shao Bing), an enemy general who wants to kill Yang to avenge his father. After learning about their father's predicament, Yang Ye's seven sons set out to rescue their father at any cost.",*The Gallant Sons of the Yang Clan*,“忠烈”强调忠义与英勇，“楊家將”是中国文化中象征家国忠魂的传奇家族。译名以“Gallant”体现忠勇之气，用“the Yang Clan”保留文化标识，使整体既自然流畅，又传达出史诗般的家族忠烈精神。
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,Apprentices at the Oolong Courtyard school are suspicious when two outsiders try to join the prestigious academy despite their strange behaviour.,*Oolong Courtyard: Laughing Warriors of the Martial World*,“乌龙院”保留为 *Oolong Courtyard*，既传达原作的独特场所名，又带有轻松幽默的色彩；“笑闹江湖”意为在武林世界中嬉笑打闹，译为 *Laughing Warriors of the Martial World* 既体现喜剧氛围，又保留“江湖”这一武侠文化意象。
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",*Creation of the Gods: Storm over Chaoge*,“封神”意指“成神”或“神话的开端”，用 *Creation of the Gods* 体现史诗感与神话气势；“朝歌风云”传达王朝更替与乱世风起，用 *Storm over Chaoge* 既保留地名特色，又暗示政治与命运的动荡。
